Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1806       9601       0          5977       5.32
structure_refs      693        142        0          30         0.20
biomes              693        748        0          367        1.08
terrain             691        2835       2          194        4.10
surface             691        1187       1          33         1.72
air_carvers         691        1056       0          159        1.53
fluid_carvers       691        16         0          0          0.02
decoration          587        5351       4          61         9.12
mob_spawns          490        64         0          30         0.13
structure_searches  0          0          0          0          0.00
Sum                                                             23.22
