Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1386       9760       0          7594       7.04
structure_refs      229        31         0          0          0.14
biomes              229        4852       0          901        21.19
terrain             228        828        2          5          3.63
surface             228        313        0          28         1.37
air_carvers         228        308        0          15         1.35
fluid_carvers       227        5          0          0          0.02
decoration          130        3644       6          624        28.03
mob_spawns          43         4          0          1          0.09
structure_searches  0          0          0          0          0.00
Sum                                                             62.87
