Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3326       6155       0          5925       1.85
structure_refs      1598       207        0          25         0.13
biomes              1598       2885       0          586        1.81
terrain             1598       6660       2          50         4.17
surface             1598       2503       0          9          1.57
air_carvers         1598       1757       0          36         1.10
fluid_carvers       1598       32         0          1          0.02
decoration          1418       11458      3          290        8.08
mob_spawns          1246       62         0          3          0.05
structure_searches  0          0          0          0          0.00
Sum                                                             18.77
