Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1069       7945       0          7848       7.43
structure_refs      265        37         0          0          0.14
biomes              265        2942       0          769        11.10
terrain             265        1028       2          10         3.88
surface             265        348        0          26         1.31
air_carvers         265        343        0          9          1.29
fluid_carvers       265        6          0          0          0.02
decoration          195        3669       6          281        18.82
mob_spawns          129        7          0          0          0.05
structure_searches  0          0          0          0          0.00
Sum                                                             44.05
