Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1301       9647       0          7270       7.42
structure_refs      176        23         0          0          0.13
biomes              176        470        0          242        2.67
terrain             176        633        2          7          3.60
surface             176        277        0          80         1.57
air_carvers         176        286        0          34         1.63
fluid_carvers       176        3          0          0          0.02
decoration          83         952        5          56         11.47
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             28.50
