Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2112       99907      0          78587      47.30
structure_refs      896        121        0          1          0.14
biomes              896        15812      0          9124       17.65
terrain             889        10832      2          7517       12.18
surface             875        981        0          3          1.12
air_carvers         873        5584       0          4515       6.40
fluid_carvers       870        16         0          0          0.02
decoration          756        21318      5          8745       28.20
mob_spawns          650        9874       0          9829       15.19
structure_searches  0          0          0          0          0.00
Sum                                                             128.20
