Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1461       9984       0          7253       6.83
structure_refs      249        32         0          0          0.13
biomes              249        12         0          0          0.05
terrain             249        940        2          43         3.78
surface             249        340        1          1          1.37
air_carvers         249        325        0          25         1.31
fluid_carvers       249        5          0          0          0.02
decoration          133        1531       6          56         11.51
mob_spawns          25         2          0          1          0.08
structure_searches  0          0          0          0          0.00
Sum                                                             25.07
