Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1425       9409       0          7475       6.60
structure_refs      244        36         0          0          0.15
biomes              244        1194       0          245        4.89
terrain             244        972        2          35         3.98
surface             244        282        0          4          1.16
air_carvers         244        310        0          3          1.27
fluid_carvers       244        5          0          0          0.02
decoration          126        1519       6          65         12.06
mob_spawns          17         3          0          1          0.18
structure_searches  0          0          0          0          0.00
Sum                                                             30.31
