Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1416       9927       0          7274       7.01
structure_refs      220        31         0          0          0.14
biomes              220        738        0          323        3.35
terrain             220        811        2          34         3.69
surface             220        301        0          1          1.37
air_carvers         220        259        0          3          1.18
fluid_carvers       220        4          0          0          0.02
decoration          106        1019       6          41         9.61
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             26.37
