Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1577       10800      0          7273       6.85
structure_refs      385        55         0          0          0.14
biomes              385        2027       0          1236       5.26
terrain             385        1467       2          33         3.81
surface             385        457        0          1          1.19
air_carvers         385        452        0          3          1.17
fluid_carvers       385        13         0          0          0.03
decoration          271        3246       5          104        11.98
mob_spawns          165        11         0          1          0.07
structure_searches  0          0          0          0          0.00
Sum                                                             30.51
