Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1482       10176      0          9034       6.87
structure_refs      363        83         0          3          0.23
biomes              363        1393       0          585        3.84
terrain             363        1823       2          60         5.02
surface             363        815        0          36         2.25
air_carvers         363        734        0          64         2.02
fluid_carvers       363        23         0          0          0.06
decoration          242        4922       6          394        20.34
mob_spawns          133        12         0          2          0.09
structure_searches  0          0          0          0          0.00
Sum                                                             40.71
