Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1470       9942       0          7319       6.76
structure_refs      274        37         0          0          0.14
biomes              274        646        0          384        2.36
terrain             274        982        2          17         3.58
surface             274        392        0          20         1.43
air_carvers         274        318        0          2          1.16
fluid_carvers       274        6          0          0          0.02
decoration          160        1893       6          75         11.83
mob_spawns          54         2          0          1          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             27.32
