Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3930       8264       0          6284       2.10
structure_refs      1682       223        0          9          0.13
biomes              1682       826        0          354        0.49
terrain             1682       4599       1          144        2.73
surface             1682       1926       0          24         1.15
air_carvers         1682       1182       0          38         0.70
fluid_carvers       1682       930        0          7          0.55
decoration          1458       30594      4          421        20.98
mob_spawns          1250       294        0          165        0.24
structure_searches  0          0          0          0          0.00
Sum                                                             29.08
