Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1416       9997       0          7470       7.06
structure_refs      220        66         0          35         0.30
biomes              220        668        0          345        3.04
terrain             220        752        2          6          3.42
surface             220        296        0          1          1.35
air_carvers         220        254        0          3          1.15
fluid_carvers       220        6          0          0          0.03
decoration          106        1093       6          55         10.31
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             26.65
