Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2004       12887      0          7496       6.43
structure_refs      820        128        0          0          0.16
biomes              820        79         0          5          0.10
terrain             820        3718       2          143        4.53
surface             820        1452       1          44         1.77
air_carvers         820        1383       0          65         1.69
fluid_carvers       817        53         0          10         0.06
decoration          705        11110      5          308        15.76
mob_spawns          599        65         0          3          0.11
structure_searches  0          0          0          0          0.00
Sum                                                             30.61
