Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1473       9539       0          7634       6.48
structure_refs      245        31         0          0          0.13
biomes              245        2735       0          807        11.16
terrain             245        885        2          17         3.61
surface             241        341        0          5          1.41
air_carvers         240        290        0          3          1.21
fluid_carvers       238        5          0          0          0.02
decoration          119        1299       6          54         10.92
mob_spawns          9          4          0          1          0.44
structure_searches  0          0          0          0          0.00
Sum                                                             35.38
